recipe_id,name,category,cuisine,ingredients,instructions,image_url
"53483","Acaraje black-eyed pea fritters with shrimp filling","Seafood","Unknown","black eyed peas; garlic; green chilli; red onions; plain flour; salt; chilli powder; baking powder; vegetable oil; ginger; raw tiger prawns; plum tomatoes; coriander; lime","Make the shrimp filling, blend the pea fritter mixture, fry spoonfuls until crisp, then fill and serve with lime.","https://www.themealdb.com/images/media/meals/dxs5t71782678369.jpg"
"53262","Adana kebab","Lamb","Turkish","romano pepper; lamb mince; red pepper paste; pul biber; sunflower oil","Finely chop the pepper, mix with lamb mince and spices, shape onto skewers, then grill until browned and cooked through.","https://www.themealdb.com/images/media/meals/04axct1763793018.jpg"
"53373","Air Fryer Egg Rolls","Side","Chinese","olive oil; ground pork; garlic; ginger; carrots; scallions; cabbage; soy sauce; rice vinegar; egg roll wrappers; duck sauce","Cook the pork and vegetables, season with soy and vinegar, wrap in egg roll wrappers, then air fry until crisp.","https://www.themealdb.com/images/media/meals/grhn401765687086.jpg"
"53158","Air fryer patatas bravas","Vegetarian","Spanish","potatoes; olive oil; onion; garlic; paprika; tomato puree; tinned tomatoes; basil leaves","Soak and dry the potatoes, air fry until crisp, then serve with a paprika tomato sauce and basil.","https://www.themealdb.com/images/media/meals/3m8yae1763257951.jpg"
"53169","Ajo blanco","Starter","Spanish","white bread; almonds; extra virgin olive oil; garlic clove; red wine vinegar; salt","Soak the bread, blend with almonds, garlic, vinegar, olive oil, salt, and water, then chill before serving.","https://www.themealdb.com/images/media/meals/5jdtie1763289302.jpg"
"53138","Alfajores","Dessert","Argentina","all purpose flour; cornstarch; butter; sugar; egg yolks; lemon zest; dulce de leche; desiccated coconut","Cream butter and sugar, add yolks and lemon zest, mix the dough, bake cookies, then sandwich with dulce de leche.","https://www.themealdb.com/images/media/meals/a4kgf21763075288.jpg"
"53284","Algerian Bouzgene Berber Bread with Roasted Pepper Sauce","Side","Algerian","red pepper; tomato; olive oil; garlic; jalapeno; salt; semolina; water","Roast peppers and tomatoes, blend them into sauce, prepare semolina dough, cook the bread, and serve together.","https://www.themealdb.com/images/media/meals/se5vhk1764114880.jpg"
"53282","Algerian Carrots","Side","Algerian","water; carrots; olive oil; salt; black pepper; ground cinnamon; ground cumin; garlic; thyme; bay leaf; lemon juice","Steam carrots until tender, then toss with olive oil, garlic, spices, herbs, and lemon juice.","https://www.themealdb.com/images/media/meals/o2cd4r1764113576.jpg"
"53288","Algerian Flafla Bell Pepper Salad","Vegetarian","Algerian","green pepper; olive oil; red onions; garlic; salt; pepper; plum tomatoes","Roast peppers until soft, peel and chop them, then cook with onions, garlic, tomatoes, oil, salt, and pepper.","https://www.themealdb.com/images/media/meals/tbj1bs1764118062.jpg"
"53281","Algerian Kefta Meatballs","Beef","Algerian","ground beef; garlic; onion; salt; pepper; plum tomatoes; parsley; water","Mix beef with garlic and onion, shape into meatballs, simmer with tomatoes and parsley, then serve hot.","https://www.themealdb.com/images/media/meals/8rfd4q1764112993.jpg"
"53495","Amok Trey Cambodian Fish Curry","Seafood","Unknown","fish fillet; coconut milk; red curry paste; fish sauce; brown sugar; chicken stock; egg; kaffir lime leaves; vegetable oil; cilantro; lime","Whisk coconut curry sauce, add fish and egg, steam in banana leaves or bowls, then finish with herbs and lime.","https://www.themealdb.com/images/media/meals/diuub11782687570.jpg"
"53430","Antiguan Breakfast Chop Up and Saltfish","Breakfast","Unknown","egg plants; callaloo; pumpkin; garlic; onion; butter; salt; black pepper","Cook eggplant, greens, pumpkin, garlic, and onion with butter until soft, then season and serve for breakfast.","https://www.themealdb.com/images/media/meals/jvjnoh1780086318.jpg"
"53111","Anzac biscuits","Dessert","Australian","porridge oats; desiccated coconut; plain flour; caster sugar; butter; golden syrup; bicarbonate of soda","Mix oats, coconut, flour, and sugar, stir in melted butter and syrup, shape biscuits, and bake until golden.","https://www.themealdb.com/images/media/meals/q47rkb1762324620.jpg"
"53049","Apam balik","Dessert","Malaysian","milk; oil; eggs; flour; baking powder; salt; unsalted butter; sugar; peanut butter","Make a pancake batter, cook it thinly in a pan, spread with butter, sugar, and peanut filling, then fold.","https://www.themealdb.com/images/media/meals/adxcbq1619787919.jpg"
"52893","Apple and Blackberry Crumble","Dessert","British","plain flour; caster sugar; butter; braeburn apples; demerara sugar; blackberries; cinnamon; ice cream","Rub butter into flour and sugar, cook the fruit filling, top with crumble, bake until crisp, and serve with ice cream.","https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg"
"53380","Apple cake","Dessert","Netherlands","eggs; sugar; self-raising flour; melted butter; vanilla extract; ground cinnamon; apples; salt; ground sugar","Beat eggs and sugar, fold in flour, butter, vanilla, cinnamon, and apples, then bake until the cake is set.","https://www.themealdb.com/images/media/meals/c0gmo31766594751.jpg"
"52768","Apple Frangipan Tart","Dessert","British","digestive biscuits; butter; bramley apples; caster sugar; free-range eggs; ground almonds; almond extract; flaked almonds","Make a biscuit base, cook apples, spread almond frangipane over the base, top with apples and almonds, then bake.","https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg"
"53389","Apple Potato Mash Hete bliksem","Side","Netherlands","apples; potatoes; cinnamon stick; maple syrup; ground cinnamon; bacon; cheese; salt; egg; sesame seed","Boil potatoes and apples together, mash with seasoning, then finish with bacon, cheese, egg, and sesame seed.","https://www.themealdb.com/images/media/meals/pa03n41777540582.jpg"
